面料编号,面料名称,面料图片,品类,供应商,成分描述,涤纶 %,棉 %,氨纶 %,再生纤维 %,其他成分,幅宽 cm,克重 g/㎡,结构/织法,后整理,阻燃等级,RMB 价格 元/m,FOB 价格 USD/m,起订量 MOQ,适用季节,推荐款式,特性标签,卖点文案,相似款链接,备注,__来源文件,__来源行号,__导入时间
SKDSY23592,双面弹力摇粒绒,,针织,常熟市华瑞针纺织,94%涤纶 + 6%氨纶,94.0,,6.0,,,,380,,,,,,,秋;冬,秋冬保暖外套;卫衣;家居服,弹力;保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,3,
SKDH26067,灯芯绒复合摇粒绒,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,350,,,,,,,秋;冬,复古风外套;工装裤;马甲,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,4,
SKDY24-23162F7,RE氨纶摇粒绒,,针织,常熟市华瑞针纺织,94%再生涤 + 6%氨纶,,,6.0,94.0,,,250,,,,,,,春;夏;秋,户外软壳;运动卫衣;环保系列服饰,弹力;再生环保,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,5,
SKDSY25132XS,提花罗纹,,针织,常熟市华瑞针纺织,85%锦纶 + 15%氨纶,,,15.0,,nylon 85.0%,,340,,,,,,,春;秋;冬,修身打底衫;瑜伽服;罗纹领口/袖口,弹力;保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,6,
SKD25351YH追加,印花氨纶网眼布,,针织,常熟市华瑞针纺织,52%凉感涤纶 + 43%棉 + 5%氨纶,,43.0,5.0,,凉感涤纶 52.0%,,185,,,,,,,春;夏,夏季运动T恤;健身服;防晒衣,弹力;透气,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,7,
SKD22016,氨纶云彩摇粒绒,,针织,常熟市华瑞针纺织,96%涤纶 + 4%氨纶,96.0,,4.0,,,,225,,,,,,,秋;冬,春秋卫衣;空调毯;儿童保暖服饰,弹力,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,8,
SYT23116（C）,RE提花空气层,,针织,常熟市华瑞针纺织,50%再生涤 + 38%棉 + 12%莫代尔,,38.0,,50.0,modal 12.0%,,270,,,,,,,春;夏;秋,春秋卫衣;打底衫;家居服,再生环保;亲肤,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,9,
SYT25-23319,楼梯布,,针织,常熟市华瑞针纺织,55%棉 + 44%涤 + 1%氨纶,,55.0,1.0,,涤 44.0%,,250,,,,,,,秋;冬,休闲T恤;polo衫;工装上衣,弹力,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,10,
SKDT25-24215翻单2,雪尼尔粗细针,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,380,,,,,,,春;秋;冬,秋冬阔腿裤;毛衣;家居软装,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,11,
SKDY25-23185F3,粗针罗纹复合摇粒绒,,针织,常熟市华瑞针纺织,62%涤纶 + 38%再生涤,62.0,,,38.0,,,450,,,,,,,秋;冬,深冬外套;工装裤;户外防寒服,再生环保;保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,12,
