款式描述,面料描述,报价,,,,,,,,
粘胶，复合，烫印,49%粘胶纤维 48% 聚酯 3% 弹性纤维,,,,,,,,,
圆领，Modal面料，Softouch，胸前印有文字图案，普通版型T恤,79% 莫代尔21% 涤纶,,,,,,,,,
互锁面料，柔韧，柔软触感，胸前印有注射印花,涤纶粘胶,,,,,,,,,
柔软，透气，防汗，无刮痕，胸前绣有标志细节的基础款T恤,50% 莫达尔 50% 棉,,,,,,,,,Modal 面料：以丝滑柔软和透气结构脱颖而出。吸收水分迅速，使用感焕然一新。得益于其耐用的质地，它能长时间保持形状，每次洗涤的第一天都能保持柔软。
粘胶混纺，柔和触感，侧面有注出文字印花细节，互锁面料,49% 人棉 48% 涤纶  3% 氨纶,,,,,,,,,
胸部反光文字细节，互锁面料,49%聚酯 46% 粘胶纤维 5% 弹性烷,,,,,,,,,
小牛皮洗标，Appé领，横向提花，亚麻混纺，棉质，下摆的品牌细节,棉+亚麻,,,,,,,,,
网眼针织布，刺绣logo,50棉50涤,,,,,,,,,
马球领，短袖，100%纯棉，美国Pique面料,纯棉,,,,,,,,,
带拉链的Polo衫领，100%棉，透气，胸前有注射印花细节，罗纹和条纹领子及袖子，Pique面料,纯棉 珠地网眼面料,,,,,,,,,
拉链Polo衫领，提花图案，胸前标志刺绣细节，罗纹领和袖子，弹性面料,"89%聚酯，11%氨纶，
提花",,,,,,,,,
三扣Polo衫领，花花线，镂空，罗纹针织领袖和下摆，皮革标,62棉，38涤,,,,,,,,,
三扣Polo衫领，弹力提花针织面料，有纹理的罗纹领子和袖子，胸前有标志刺绣细节,%88 涤纶  %12 氨纶,,,,,,,,,
拉链Polo衫领，提花图案，胸前标志刺绣细节，罗纹领和袖子，弹性面料,89涤，11氨纶,,,,,,,,,
